,Titulos,Links
80,Lindelof set for Man Utd exit as he’s wanted by ex-boss he admitted 'missing',https://www.thesun.co.uk/sport/28534976/victor-lindelof-man-utd-transfer-news-jose-mourinho/
81,Ten Hag says Ratcliffe's Man Utd boss hiring process is BANNED in Holland,https://www.thesun.co.uk/sport/28539013/erik-ten-hag-jim-ratcliffe-man-utd/
82,Michael Carrick set to hire his brother from Premier League side,https://www.thesun.co.uk/sport/28558008/michael-carrick-brother-graeme-middlesbrough-newcastle-coach-aaron-danks/
83,Man Utd turmoil as Ten Hag casts doubt over future just before pre-season tour,https://www.thesun.co.uk/sport/28546990/man-utd-pre-season-tour-erik-ten-hag/
84,Man Utd complete first summer transfer and beat Prem rivals to sign wonderkid,https://www.thesun.co.uk/sport/28549190/man-utd-transfer-premier-league-james-overy/
85,"Unemployed ex-Prem ace, 34, brutally mocked by his own children on Father's Day",https://www.thesun.co.uk/sport/28536637/charlie-austin-unemployed-fathers-day/
86,Sky Sports presenter Melissa Reddy leaves fans lost for words in risque bikini,https://www.thesun.co.uk/sport/28549593/melissa-reddy-sky-sports-greece-crete/
87,Georgina Rodriguez wows in barely-there bikini as Ronaldo prepares to kick off,https://www.thesun.co.uk/sport/28561369/georgina-rodriguez-bikini-cristiano-ronaldo-euro-2024/
88,England Wags Instagram rich list revealed ahead of Euro 2024,https://www.thesun.co.uk/sport/28435548/england-wags-instagram-rich-list-euro-2024/
89,"Foden needs to justify his England spot, Southgate has shown enough faith",https://www.thesun.co.uk/sport/28559066/dave-kidd-phil-foden-england-gareth-southgate/
90,England can win the Euros… if Gareth follows my 20-point plan to victory,https://www.thesun.co.uk/sport/28497863/piers-morgan-euro-england-win-gareth-southgate/
91,Ten Hag still not safe - Man Utd even asked rival club for advice on his future,https://www.thesun.co.uk/sport/28465676/erik-ten-hag-man-utd-future-still-uncertain/
